year,state,geargroup,catch_mt
2007,CA,HKL,425.4458752
2007,CA,POT,297.0447613
2007,CA,TWL,749.3841838
2007,OR,HKL,495.514103
2007,OR,POT,374.5359376
2007,OR,TWL,1559.244185
2007,WA,HKL,1140.698901
2007,WA,POT,15.02470885
2007,WA,TWL,186.119584
2008,CA,HKL,546.8229978
2008,CA,POT,291.5576408
2008,CA,TWL,755.6851158
2008,OR,HKL,619.1505011
2008,OR,POT,372.1489531
2008,OR,TWL,1966.945166
2008,WA,HKL,1134.903504
2008,WA,POT,11.15900507
2008,WA,TWL,173.1306195
2009,CA,HKL,1029.927521
2009,CA,POT,430.8434157
2009,CA,TWL,850.559562
2009,OR,HKL,873.0938268
2009,OR,POT,420.1751318
2009,OR,TWL,2008.502299
2009,WA,HKL,1368.279441
2009,WA,POT,13.06911974
2009,WA,TWL,202.992891
2010,CA,HKL,1375.489733
2010,CA,POT,411.7796814
2010,CA,TWL,710.8922342
2010,OR,HKL,802.0938296
2010,OR,POT,345.2643519
2010,OR,TWL,1710.742585
2010,WA,HKL,1209.546706
2010,WA,POT,147.8567665
2010,WA,TWL,118.8092465
